Index,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,Amount,Class
0,2.245294805,-1.160959801,-1.966681862,-1.430189911,-0.607245702,-1.508695819,-0.074414619,-0.65509598,-1.970141413,1.607283432,-0.780266993,-0.294928308,1.236719174,-0.135565404,-0.832676679,-1.400205468,0.807959777,-0.670317186,-0.044106183,-0.292081061,0.010489835,0.521714069,-0.064971195,0.04884934,0.383290154,0.103969505,-0.047350194,-0.064800146,74.75,0
1,1.278608635,0.102574,0.512079356,0.00392966,-0.723473861,-1.334104981,0.029957834,-0.296594928,0.128118526,-0.209865413,0.188510907,0.674524634,0.712607768,0.122318973,1.038024287,0.128638178,-0.222614027,-0.687546309,-0.056503741,-0.04001466,-0.081470343,-0.182506174,0.078986172,0.789993043,0.219793689,0.938359119,-0.078720495,0.00811857,1.38,0
2,1.466457007,0.026087801,-0.499298187,-0.674372063,-0.144883263,-1.178075004,0.058089204,-0.42014528,-1.359651031,0.210249135,-0.033776842,-0.001593777,1.767470717,-1.212943148,0.427683674,1.25271426,0.84341234,-1.534473598,0.830733906,0.207653056,-0.23408747,-0.710542482,-0.001242316,-0.174712947,0.533718631,-0.454779473,0.001524307,0.030934839,10.95,0
3,-0.922137096,-0.371579009,2.132017664,-0.796997187,0.324175239,-1.162005686,0.277208414,-0.249585794,-0.775648145,-0.061756613,-0.95972469,0.40874581,0.597640513,-0.802429656,-1.889520319,-1.60778526,-0.401475208,0.729772605,-2.445692636,-0.461062202,-0.302654406,-0.246898634,-0.045744568,0.677109563,0.016108784,-0.734220417,-0.034480173,-0.064786269,8.04,0
4,-1.166524936,0.255438876,2.108463659,0.135018564,-0.072978868,0.910820566,0.755918108,0.355527675,-0.4228204,-0.842826239,0.663537674,0.624657207,0.107261542,-0.073653762,-0.305505508,0.618641973,-0.952528808,0.757618435,-0.375461206,0.353355408,0.136470395,0.01749597,0.121017311,0.636265996,0.49294272,-0.750241771,0.029123991,0.091302833,175,0
5,1.426857221,-0.534910066,-0.007128503,-0.638556159,-0.537868413,-0.388633715,-0.377139011,-0.218566057,-0.603430791,0.473522005,-1.197674451,-0.132570748,1.112749524,-0.646240923,-0.608862008,0.671543648,0.361462687,-1.594501228,1.239811323,0.168597364,0.019991953,0.174990378,-0.236209633,-0.385121416,0.823957378,-0.098765303,0.007511523,0.005303766,29.05,0
6,-1.383116994,-0.074185809,1.432258594,-0.474076405,1.344838257,-1.607549695,0.475295617,-0.285810974,-0.3142251,-0.0294615,1.485455258,0.941916605,-0.114183981,0.074814606,-0.871858555,-0.146498786,-0.4803106,-0.513243499,0.152127433,-0.063646318,-0.361620908,-0.736107008,-0.390789613,0.580187887,0.494024879,0.257188951,-0.038761966,-0.301970448,9.31,0
7,1.281084845,-0.646867309,0.922172983,-0.607453813,-1.32568134,-0.576395981,-0.846559479,-0.007179666,-0.60968635,0.544044356,0.287683174,-0.340593216,0.243543529,-0.27297093,1.201486776,1.003131001,0.52354615,-1.823568262,-0.048115721,0.083981835,0.144723998,0.312996671,0.113062815,0.412689025,0.136759822,-0.327388719,0.039468733,0.030013944,31,0
8,-0.477645824,0.518330057,0.307512511,-1.119424242,1.707729405,1.613608311,0.773975354,0.395521358,-0.034565404,-1.243196863,-0.271221544,0.997633813,0.847912961,-0.109531424,0.097022122,-2.051178329,0.990791912,-2.264487424,-1.303365228,-0.153699006,0.359218862,1.432296842,-0.25963362,-0.577421328,-0.032307786,0.34101138,0.182013825,0.134363012,16.42,0
9,-0.975294351,0.397274486,0.33345059,-1.877673801,1.260143413,-1.882496806,1.527516522,-0.418084883,-0.440418227,-1.291524674,-1.029692011,-0.391068963,-0.90753541,0.575547997,-0.627515739,-0.640538481,-0.128254227,-0.661503572,-0.022329147,-0.002415616,0.129596512,0.23604338,-0.541856963,0.139068577,1.191006159,1.114005771,-0.158765231,0.012910557,27.83,0
10,-0.392659545,1.020223816,-2.55141272,-2.119560567,3.299613381,2.692782078,0.717266405,1.036666473,-0.721978963,-0.684583335,-0.294642773,0.04324487,-0.407273008,1.244037204,0.204726247,-0.615392818,-0.31540344,-0.462281045,-0.26581147,-0.097287995,0.290282081,0.784554799,-0.148548756,0.754073484,-0.248016387,0.111070759,0.288863671,0.19473122,6.93,0
11,2.001328181,0.159701478,-1.715483107,0.398592042,0.450023808,-0.77883709,0.207333211,-0.163508216,0.426968997,-0.451024677,1.051376691,1.029093973,0.177433919,-0.761285765,-0.354747487,0.291747199,0.294235607,0.383343721,0.360732881,-0.168817539,-0.285327006,-0.677829575,0.210373378,-0.598020604,-0.100293625,-0.574360339,0.003743129,-0.035377142,9.99,0
12,2.056426104,-0.318417839,-0.431072683,0.530498375,-0.374033752,-0.163163816,-0.712046872,-0.118574423,2.552314153,-0.354496234,-0.694241885,-2.345148123,2.018426898,1.129588511,-0.38555664,0.450840602,-0.010481001,0.502155694,-0.188825819,-0.214383345,-0.005974778,0.483838872,0.053571932,-0.707853753,-0.139823281,0.619386811,-0.04881979,-0.063346711,5.48,0
13,-1.130443472,0.737589193,1.410829521,1.168934133,0.116978182,-0.19229798,0.383833886,0.385018265,-0.970574884,0.055573154,1.555128119,0.143197099,-1.382985536,0.985950532,0.994920197,-0.327186656,0.204067144,-0.264867704,0.851097759,-0.076752002,-0.346771832,-1.152571622,0.242053594,0.106277085,-0.03850773,-0.684420069,-0.381696089,-0.32927831,35,0
14,1.953639024,-0.617796779,-0.315799717,0.148863122,-0.548825928,0.392262987,-0.961370531,0.257744957,1.450339121,0.003887452,-0.181697005,0.570232731,-0.207072136,-0.019629394,0.342756372,0.94504173,-1.269687979,1.159152828,0.344545959,-0.165978101,0.067960291,0.296341552,0.120514404,-1.060929319,-0.305954777,-0.366159253,0.046450685,-0.044157098,25.36,0
15,-0.527167499,0.9367556,1.631817615,1.909591494,0.126367788,0.2394708,1.03654706,0.06486304,-1.35572675,0.107182144,-0.408707643,-0.172852595,0.285997738,0.12876708,0.576009974,0.371440152,-0.386053319,-0.584626279,-1.252163239,0.129919214,0.075679022,-0.017175689,0.175046926,0.043360552,-0.068094337,-0.114839877,-0.000563466,0.03680588,111.82,0
16,1.127141914,-0.322141617,0.174424064,-0.254628876,-0.391470208,-0.166070763,-0.232458373,0.124357742,0.178760756,-0.064851439,1.238794145,0.339023817,-0.957838919,0.644050148,0.851046086,0.338201062,-0.344478704,-0.211623967,0.115675411,-0.034058057,-0.050180052,-0.304149143,0.004951302,-0.277808413,0.092655459,0.965364422,-0.086468829,-0.004831975,57,0
17,2.001433109,0.231083649,-1.976246583,1.263624058,0.587592238,-1.355117352,0.820246841,-0.445954086,-0.087312756,0.396096121,-0.636865459,-0.322788771,-1.203988365,1.069111137,0.260028025,-0.514250744,-0.243085788,-0.36297752,-0.514058316,-0.272439608,0.198172156,0.537159355,0.002320575,1.130062264,0.488138983,-0.47423833,-0.054705693,-0.052700974,36,0
18,-0.602120418,0.270060442,1.966301115,-1.30085149,0.186668084,0.33724768,0.289899666,0.032603948,0.332438691,-0.553426897,0.812431666,1.030176995,0.881037766,-0.695220894,-0.700596445,0.920949563,-1.3516362,0.495663932,-0.669427446,0.000503427,0.138724364,0.539208802,-0.056457615,0.810840609,-0.652829718,0.255608674,-0.181989771,-0.045447185,27.99,0
19,1.216266404,0.31715114,0.750708325,0.740602382,-0.664674286,-1.275586528,0.138529376,-0.291215372,-0.126482378,-0.094316122,0.412385413,1.017961487,1.111117126,0.095244393,0.895840051,0.10618609,-0.279960527,-0.824472924,-0.326942022,-0.046064287,-0.209947518,-0.575450653,0.188420628,0.93717516,0.175054702,0.058182741,-0.023247273,0.02697527,5.49,0
20,2.064086084,-0.073802438,-1.491628181,0.142715843,0.237136836,-0.776734422,0.134694701,-0.219961497,0.394374161,0.189657537,0.550277148,0.742688051,-0.09868298,0.68820071,0.092766615,0.126251178,-0.917388237,0.605701882,0.238230977,-0.229330004,0.263734798,0.887200578,-0.069623888,-0.459769141,0.296075091,-0.098057975,-0.02513953,-0.073957125,1.79,0
21,-4.419785382,-4.590669611,-0.156336598,1.062014422,2.47263883,-2.74422493,-2.108027795,-0.157095476,1.245985601,0.163726651,-0.929692099,1.0760994,1.437844418,-0.442987049,0.187950828,0.612923383,-0.620352686,-0.223925327,-0.367648556,-1.462696713,-0.106229017,0.630519347,-2.665649313,0.432744668,-1.34773031,0.40232911,0.614076045,-1.506221975,28.97,0
22,-0.764435954,0.717186374,2.443593004,0.016619054,-0.331365981,0.151521252,0.068151757,0.258776657,0.3413738,-0.605520983,-1.355059775,-0.141949659,-0.028783181,-0.555273636,0.110629641,0.176988385,-0.301890616,0.124978111,0.384521402,0.158035146,-0.122123085,-0.103915821,-0.317191349,-0.111451696,0.300101164,0.400727302,0.297726643,0.131455317,4.78,0
23,2.246158035,-1.478140818,-0.506063058,-1.571590905,-1.47760511,-0.386782257,-1.402407035,-0.055827321,-0.960395846,1.508508655,-1.025617523,-0.799841302,0.42332194,-0.588630001,0.125770559,-0.199596512,0.345995501,-0.103970604,-0.11595668,-0.378834297,-0.405112643,-0.766866459,0.484139568,0.658426741,-0.594871497,-0.518166209,0.029328651,-0.0256412,29.9,0
24,-0.531153534,0.052393111,1.41311239,-0.793352815,-0.360677268,-0.284302139,0.388137132,0.148280579,0.772146343,-1.061218743,-1.124072612,-0.613951432,-1.443539668,-0.003293744,0.232710542,0.068981652,-0.364812364,0.405300181,-0.386160486,-0.002589288,0.325648577,0.833493531,0.062080851,1.141879528,-0.376501654,0.015688952,0.124505383,0.185720314,84.95,0
25,-0.177627355,-1.450959733,1.59981963,-0.597122097,-1.975049773,0.908327243,-0.420660516,0.462806302,-0.00024028,0.036885389,0.805719474,0.138703684,-0.691732194,-0.98295254,-1.803168616,0.534179636,0.874260825,-1.147391799,0.721786764,0.519967691,0.421398197,0.992138423,0.689745415,0.228898858,-0.500738272,-0.266360007,-0.023830693,-0.050647148,250,0
26,1.95444122,-0.4698882,0.117468201,0.491098558,-1.068166805,-0.520339466,-0.838433633,0.033145018,1.599670093,-0.167305,-0.913737198,0.366841916,-0.029873649,-0.212868069,0.935825545,0.433702624,-0.66125127,0.291238944,-0.329487695,-0.224487759,0.077601157,0.404063052,0.270528509,0.029157211,-0.39805775,-0.411736349,0.056363136,-0.025672297,9.77,0
